image           segment rate
1656.tif        0.257701873779
1662.tif        0.929553985596
1668.tif        0.908290863037
1674.tif        0.862464904785
1680.tif        0.955940246582
1686.tif        0.942695617676
1692.tif        0.849174499512
1698.tif        0.900882720947
1704.tif        0.602920532227
1710.tif        0.977344512939
1716.tif        0.944244384766
1722.tif        0.831020355225
1728.tif        0.503131866455
1734.tif        0.914768218994
1740.tif        0.506164550781
1746.tif        0.856796264648
1752.tif        0.773624420166
1758.tif        0.033748626709
1764.tif        0.921882629395
1770.tif        0.594158172607
1776.tif        1.0
1782.tif        0.468570709229
1788.tif        0.785106658936
1794.tif        0.76615524292
1800.tif        0.777698516846
1806.tif        0.478321075439
1812.tif        0.966705322266
1818.tif        0.740398406982
1824.tif        0.532241821289
1830.tif        0.964836120605
1836.tif        0.918170928955
1842.tif        0.337127685547
1848.tif        0.813865661621
1854.tif        0.791652679443
1860.tif        0.609302520752
1866.tif        0.751842498779
1872.tif        0.650218963623
1878.tif        0.827003479004
1884.tif        0.962131500244
1890.tif        0.91828918457
1896.tif        0.911808013916
1902.tif        0.344997406006
1908.tif        0.466178894043
1914.tif        0.860862731934
1920.tif        0.411716461182
1926.tif        0.154361724854
1932.tif        0.54508972168
1938.tif        0.534172058105
1944.tif        1.0
1950.tif        0.692451477051
1956.tif        0.777820587158
1962.tif        0.831184387207
1968.tif        0.717449188232
1974.tif        0.801670074463
1980.tif        0.839984893799
1986.tif        0.747165679932
1992.tif        0.69849395752
1998.tif        0.551231384277
2004.tif        0.928912913113
2010.tif        0.611576080322
2016.tif        0.873043060303
2022.tif        0.769313812256
2028.tif        0.916038513184
2034.tif        0.975326538086
2040.tif        0.790023803711
2046.tif        0.822441101074
2052.tif        0.894889831543
2058.tif        0.88907623291
2064.tif        0.607345581055
2070.tif        0.504875183105
2076.tif        0.742870330811
2082.tif        0.77392578125
2088.tif        0.670623779297
2094.tif        0.297992706299
2100.tif        0.409008026123
2106.tif        0.58899307251
2112.tif        0.659004211426
2118.tif        0.775230407715
